keys,en,de,es,fr,id,it,ja,ko,pl,pt_BR,ru,vi,zh
ui_new_campaign,New Campaign,Neue Kampagne,Nueva campaña,Nouvelle campagne,Kampanye baru,Nuova campagna.,新しいキャンペーン,새로운 캠페인,Nowa kampania,Nova campanha,Новая кампания,Chien dich moi,新竞选人员
ui_load_game,Load Game,Spiel laden,Juego de carga,Chargement du jeu,Muatkan game,Caricare il gioco,ロードゲーム,로드 게임,Wczytaj grę,Carregar jogo,Загрузить игру,Tải trò chơi,加载游戏
ui_settings,Settings,Einstellungen,Ajustes,Paramètres,Pengaturan,Impostazioni,設定,설정,Ustawienia,Definições,Настройки,Cài đặt,设置
ui_campaign_manager,Campaign Manager,Kampagnen-Manager,Director de campaña,Directeur de campagne,Manajer Kampanye,Gestore della campagna,キャンペーンマネージャー,캠페인 관리자,Menadżer kampanii,Gerente de campanha,Менеджер кампании,Quản lý chiến dịch,竞选经理
ui_credits,Credits,Kreditschriften,Créditos,Crédits,Kredit,Titoli di coda,クレジット,크레딧,Kredyty,Créditos,Кредиты,Tín dụng,学分
ui_exit_desktop,Exit to Desktop,Beenden Sie den Desktop,Salida al escritorio,Sortie sur le bureau,Keluar ke desktop,Esci dal desktop.,デスクトップを終了します,바탕 화면을 종료하십시오,Wyjdź na pulpit.,Saia para a área de trabalho,Выход на рабочий стол,Thoát khỏi máy tính để bàn.,退出到桌面
ui_copy_to_clipboard,Copy to Clipboard,In die Zwischenablage kopieren,Copiar al portapapeles,Copier dans le presse-papier,Menyalin ke clipboard,Copia negli appunti,クリップボードにコピー,클립 보드에 복사,Skopiuj do schowka,Copiar para área de transferência,Скопировать в буфер обмена,Sao chép vào clipboard,复制到剪贴板
ui_edit,Edit,Bearbeiten,Editar,Éditer,Edit,Modificare,編集,편집하다,Edytować,Editar,Редактировать,Chỉnh sửa,编辑
ui_delete,Delete,Löschen,Borrar,Effacer,Menghapus,Elimina,消去,삭제,Kasować,Excluir,Удалить,Xóa bỏ,删除
ui_import_from_clipboard,Import from Clipboard,Import aus der Zwischenablage,Importar desde Portapapeles,Importation de presse-papiers,Impor dari Clipboard,Importa dagli Appunti,クリップボードからのインポート,클립 보드에서 가져 오기,Import ze schowka,Importar da área de transferência,Импорт из буфера обмена,Nhập từ clipboard.,从剪贴板导入
ui_back,Back,Zurück,atrás,Arrière,Kembali,Di ritorno,戻る,뒤,Plecy,Voltar,Назад,Mặt sau,后退
ui_play_campaign,Play Campaign,Spielkampagne,Campaña de juego,Campagne de jeu,Bermain kampanye,Gioca a Campagna.,プレイキャンペーン,재생 캠페인,Zagraj w kampanię,Play Campanha,Играть в кампанию,Chơi chiến dịch,播放竞选活动
ui_play_sandbox,Play Sandbox,Sandbox spielen,Play Sandbox,Baby-sable,Mainkan Sandbox.,Gioca a Sandbox.,サンドボックスをプレイします,샌드 박스를 재생하십시오,Odtwórz piaskownica,Play Sandbox.,Играть в песочницу,Chơi Sandbox.,玩沙箱
ui_jump_to_level,Jump to Level:,Springe zu Level:,Saltar al nivel:,Aller au niveau:,Langsung ke level:,Salta al livello:,レベルへジャンプ：,수평으로 이동 :,Przejdź do poziomu:,Saltar para o nível:,Перейти к уровню:,Chuyển đến cấp độ:,跳到级别：
ui_sandbox,Sandbox,Sandkasten,Salvadera,bac à sable,Bak pasir,Sandbox,サンドボックス,모래 상자,Piaskownica,Caixa de areia,Песочница,Sandbox.,沙箱
ui_main_campaign,Main Campaign,Hauptkampagne.,Campaña principal,Campagne principale,Kampanye Utama,Principale campagna.,メインキャンペーン,주요 캠페인,Główna kampania,Campanha principal,Главная кампания,Chiến dịch chính,主要运动
ui_load,Load,Belastung,Carga,Charge,Memuat,Carico,ロード,짐,Obciążenie,Carga,Нагрузка,Trọng tải,加载
ui_overwrite,Overwrite,Überschreiben,Sobrescribir,Écraser,Timpa,Sovrascrivere,上書きする,덮어 쓰기,Przepisać,Substituir,Переписать,Ghi đè,覆盖
ui_music_volume,Music Volume:,Musiklautstärke:,Volumen de la música:,Volume de la musique:,Volume musik:,Volume musicale:,音楽ボリューム：,음악 볼륨 :,Głośność muzyki:,Volume da música:,Объем музыки:,Âm lượng nhạc:,音乐卷：
ui_sfx_volume,Sound Effects Volume:,Sound-Effekt-Volumen:,Volumen de efectos de sonido:,Volume des effets sonores:,Volume efek suara:,Volume effetti sonori:,効果音量：,음향 효과 볼륨 :,Głośność efektów dźwiękowych:,Volume de efeitos sonoros:,Объем звуковых эффектов:,Khối lượng hiệu ứng âm thanh:,音效卷：
ui_beeps_volume,Beeps Volume:,Pieptöne Volume:,Volumen de los pitidos:,Volume des bips:,Volume berbunyi bip:,BEEPS Volume:,ビープ音のボリューム：,신호음 볼륨 :,Głośność:,VOLUME DE BEEPS:,Объем звуковых сигналов:,Âm lượng tiếng bíp:,发出哔哔声：
ui_tutorial_enabled,Tutorial Enabled:,TUTORIAL aktiviert:,Tutorial habilitado:,Didacticiel activé:,Tutorial Diaktifkan:,Tutorial abilitato:,チュートリアルが有効になっている：,자습서 사용 :,Samouczek włączony:,Tutorial habilitado:,Учебник включен:,Hướng dẫn được bật:,启用教程：
ui_fancy_sun,Fancy Sun Graphics:,Fancy Sun Graphics:,Gráficos Sun Fancy:,Fantaisie Sun Graphics:,Graphics Sun Fancy:,Fancy Sun Graphics:,ファンシーサングラフィックス：,멋진 태양 그래픽 :,Fancy Sun Graphics:,Gráficos de sol extravagantes:,Fancy Sun Graphics:,Đồ họa mặt trời lạ mắt:,花哨的太阳图形：
ui_auto_hide_ui,Auto-hide User Interface:,Benutzeroberfläche automatisch ausblenden:,Interfaz de usuario de Ocultar auto:,Masquer automatiquement l'interface utilisateur:,Antarmuka Pengguna Sembunyikan Otomatis:,Interfaccia utente Auto-Hide:,ユーザーインターフェイスを自動非表示にします。,사용자 인터페이스 자동 숨기기 :,Auto-Ukryj interfejs użytkownika:,Interface de usuário de ocultar automaticamente:,Интерфейс пользователя Auto-Hide:,Giao diện người dùng tự động ẩn:,自动隐藏用户界面：
ui_screen_shake,Screen Shake:,Screen Shake:,Shake Shake:,Screen Shake:,Screen Shake:,Screen Shake:,スクリーンシェーク：,화면 쉐이크 :,Wstrząsnąć ekranem:,Tremor da tela:,Экран встряхивание:,Lắc màn hình:,屏幕摇：
ui_fullscreen,Fullscreen:,Vollbildschirm:,Pantalla completa:,Plein écran:,Layar penuh:,A schermo intero:,全画面表示：,전체 화면 :,Pełny ekran:,Tela cheia:,Полноэкранный:,Toàn màn hình:,全屏：
ui_hints_editor,Hints Editor,Hinweise Herausgeber,Editor de sugerencias,Idéditeur,Editor Petunjuk,Suggerimenti editor,ヒント編集者,힌트 편집기,Wskazówka Edytora,Dicas Editor,Редактор подсказки,Biên tập gợi ý,提示编辑
ui_hint,Hint,Hinweis,Insinuación,Indice,Petunjuk,Suggerimento,ヒント,힌트,Wskazówka,Dica,Намекать,Gợi ý,暗示
ui_resource_editor,Resource Editor,Ressourceneditor,Editor de recursos,Éditeur de ressources,Editor sumber daya,Resource Editor.,リソースエディタ,자원 편집기,Edytor zasobów,Editor de recursos.,Редактор ресурсов,Trình chỉnh sửa tài nguyên.,资源编辑器
ui_name,Name,Name,Nombre,Nom,Nama,Nome,名前,이름,Nazwa,Nome,Имя,Tên,姓名
ui_name_colon,Name:,Name:,Nombre:,Nom:,Nama:,Nome:,名前：,이름:,Nazwa:,Nome:,Имя:,Tên:,姓名：
ui_symbol,Symbol:,Symbol:,Símbolo:,Symbole:,Simbol:,Simbolo:,シンボル：,상징:,Symbol:,Símbolo:,Условное обозначение:,Biểu tượng:,象征：
ui_sign,Sign:,Unterschrift:,Firmar:,Signe:,Tanda:,Cartello:,サイン：,징후:,Znak:,Sinal:,Подписать:,Ký tên:,标志：
ui_save,Save,Speichern,Ahorrar,sauvegarder,Menyimpan,Salva,保存する,구하다,Zapisać,Salve ,Сохранить,Cứu,节省
ui_discard,Discard,Verwerfen,Descarte,Jeter,Membuang,Scartare,破棄,버리다,Odrzucać,Descartar,Отказаться,Loại bỏ.,丢弃
ui_colour,Colour,Farbe,Color,Couleur,Warna,Colore,色,색상,Kolor,Cor,Цвет,Màu sắc,颜色
ui_preview,Preview,Vorschau,Avance,Aperçu,Pratinjau,Anteprima,プレビュー,시사,Zapowiedź,Pré-visualização,Предварительный просмотр,Xem trước,预览
ui_discard_changes,Discard Changes,Änderungen verwerfen,Descartar los cambios,Annuler les modifications,Membuang perubahan,Non salvare le modifiche,変更を破棄,변경 사항을 취소,Odrzucać zmiany,Descartar mudanças,Отменить изменения,Loại bỏ những thay đổi,放弃更改
ui_no_recipe,No Recipe,Kein Rezept,Sin receta,Aucune recette,Tidak ada resep,Nessuna ricetta,レシピなし,조리법 없음,Bez przepisu,Nenhuma receita,Нет рецепта,Không có công thức,没有食谱
ui_factory,Factory,Fabrik,Fábrica,Usine,Pabrik,Fabbrica,工場,공장,Fabryka,Fábrica,Фабрика,Xưởng sản xuất,工厂
ui_transmute,Transmute,Verwandeln,Transmutar,Transmuter,Mengubah,Trasmutare,変わる,변하게 하다,Przeobrazić,Transmutar,Передавать,Biến đổi.,传动
ui_factory_inputs,Factory Inputs,Werkseingänge,Entradas de fábrica,Entrées d'usine,Input pabrik,Ingressi di fabbrica,工場入力,공장 입력,Wejścia fabryczne,Entradas de fábrica,Заводские входы,Đầu vào nhà máy,工厂输入
ui_no_recipe_full,No Recipe. Resource must be supplied on an input lane.,Kein Rezept Ressource muss auf einer Eingabespur geliefert werden.,No hay receta. El recurso debe ser suministrado en un carril de entrada.,Pas de recette. La ressource doit être fournie sur une voie d'entrée.,Tidak ada resep. Sumber daya harus dipasok pada jalur input.,Nessuna ricetta La risorsa deve essere fornita su una corsia di input.,レシピはありません。入力レーンにリソースを指定する必要があります。,조리법 없음. 자원은 입력 차선에 제공되어야합니다.,Bez przepisu. Zasób musi być dostarczany na pasie wejściowym.,Nenhuma receita. O recurso deve ser fornecido em uma pista de entrada.,Нет рецепта. Ресурс должен поставляться на входной полосе.,Không có công thức. Tài nguyên phải được cung cấp trên một làn đầu vào.,没有食谱。必须在输入通道上提供资源。
ui_input,Input,Eingang,Aporte,Saisir,Memasukkan,Ingresso,入力,입력,Wejście,Entrada,Вход,Đầu vào,输入
ui_input_colon,Input:,Eingang:,Aporte:,Saisir:,Memasukkan:,Ingresso:,入力：,입력:,Wejście:,Entrada:,Вход:,Đầu vào:,输入：
ui_rate,Rate,Rate,Índice,Taux,Kecepatan,Valutare,割合,비율,Wskaźnik,Avaliar,Темп,Tỷ lệ,速度
ui_number,Number,Nummer,Número,Nombre,Nomor,Numero,番号,숫자,Numer,Número,Число,Con số,数字
ui_number_colon,Number:,Nummer:,Número:,Nombre:,Nomor:,Numero:,番号：,숫자:,Numer:,Número:,Число:,Con số:,数字：
ui_factory_output,Factory Output,Werkseingang,Salida de fábrica,Sortie d'usine,Output pabrik,Uscita di fabbrica,工場出荷,공장 출력,Wyjście fabryczne,Saída de fábrica,Заводская вывод,Sản lượng nhà máy,工厂输出
ui_time_s,Time (s),Zeit (en),Tiempo (s),Temps (s),Waktu),Tempo (i),時間（S）,시간 (들),Czas (y),Tempo (s),Время (ы),Thời gian,时间（s）
ui_choose_transmute,Choose resource to transmute from.,"Wählen Sie Ressource, um von zu transformieren.",Elija el recurso para transmutar de.,Choisissez la ressource à transmettre à partir de.,Pilih sumber daya untuk mentransmisikan dari.,Scegli la risorsa da trasmutare.,送信するリソースを選択します。,전송할 자원을 선택하십시오.,"Wybierz zasób, aby przemienić.",Escolha o recurso para transmutar.,Выберите ресурс для передачи.,Chọn tài nguyên để biến từ.,选择资源传输。
ui_cannot_transmute,"Only ""+"" resources can be created via transmutation.","Nur ""+"" -Ressourcen können über Transmutation erstellt werden.","Solo se pueden crear recursos ""+"" a través de la transmutación.","Seules les ressources ""+"" peuvent être créées via la transmutation.","Hanya sumber daya ""+"" yang dapat dibuat melalui transmutasi.","Solo le risorse ""+"" possono essere create tramite trasmutazione.","""+""リソースのみが変換を介して作成できます。","""+""리소스 만 트랜스미션을 통해 생성 할 수 있습니다.","Tylko ""+"" zasoby można utworzyć poprzez transmutację.","Apenas ""+"" Recursos podem ser criados via transmutação.",Только «+» ресурсы могут быть созданы через трансмутацию.,"Chỉ có tài nguyên ""+"" có thể được tạo thông qua Transmesting.",只能通过嬗变创建“+”资源。
ui_warning,Warning!,Warnung!,¡Advertencia!,Avertissement!,Peringatan!,Avvertimento!,警告！,경고!,Ostrzeżenie!,Aviso!,Предупреждение!,Cảnh báo!,警告！
ui_confirmation,Confirmation,Bestätigung,Confirmación,Confirmation,Konfirmasi,Conferma,確認,확인,Potwierdzenie,Confirmação,Подтверждение,Xác nhận,确认
ui_all_will_be_discarded,All changes will be discarded.,Alle Änderungen werden verworfen.,Todos los cambios serán descartados.,Tous les changements seront jetés.,Semua perubahan akan dibuang.,Tutte le modifiche verranno scartate.,すべての変更は破棄されます。,모든 변경 사항이 삭제됩니다.,Wszystkie zmiany zostaną odrzucone.,Todas as alterações serão descartadas.,Все изменения будут отброшены.,Tất cả các thay đổi sẽ bị loại bỏ.,所有更改都将被丢弃。
ui_ok,OK,OK,OK,d'accord,oke,ok,わかった,좋아요,ok,OK,Ok,VÂNG,好的
ui_cancel,Cancel,Abbrechen,Cancelar,Annuler,Membatalkan,Annulla,キャンセル,취소,Anulować,Cancelar,Отмена,Hủy bỏ,取消
ui_overwrite_campaign,This will overwrite the existing campaign with the same name.,Dadurch wird die vorhandene Kampagne mit demselben Namen überschrieben.,Esto sobrescribirá la campaña existente con el mismo nombre.,Cela écrasera la campagne existante avec le même nom.,Ini akan menimpa kampanye yang ada dengan nama yang sama.,Questo sovrascriverà la campagna esistente con lo stesso nome.,これにより、既存のキャンペーンが同じ名前で上書きされます。,이렇게하면 기존 캠페인을 같은 이름으로 덮어 씁니다.,Spowoduje to zastąpienie istniejącej kampanii o tej samej nazwie.,Isso sobrescreverá a campanha existente com o mesmo nome.,Это перезапишет существующую кампанию с тем же именем.,Điều này sẽ ghi đè lên chiến dịch hiện có với cùng tên.,这将覆盖具有相同名称的现有广告系列。
ui_missions,Missions:,Missionen:,Misiones:,Missions:,Misi:,Missioni:,ミッション：,임무 :,Misje:,Missões:,Миссии:,Nhiệm vụ:,任务：
ui_campaign_name,Campaign Name:,Kampagnenname:,Nombre de campaña:,Nom de la campagne:,Nama Kampanye:,Nome della campagna:,キャンペーン名：,캠페인 이름 :,Nazwa kampanii:,Nome da campanha:,Название кампании:,Tên chiến dịch:,竞选名称：
ui_resources_editor,Resources Editor,Ressourcen-Editor,Editor de recursos,Éditeur de ressources,Editor Sumber Daya,Risorse Editor.,リソースエディタ,리소스 편집기,Edytor zasobów.,Editor de recursos.,Регистрация ресурсов,Trình chỉnh sửa tài nguyên,资源编辑器
ui_recipe_editor,Recipe Editor,Rezept-Editor,Editor de recetas,Éditeur de recette,Editor Resep.,Recipe Editor.,レシピエディタ,레시피 편집기,Redaktor receptury,Editor de receita,Редактор рецепта,Trình chỉnh sửa công thức,食谱编辑器
ui_mission_requirements,Mission Requirements and Settings,Missionsanforderungen und -einstellungen,Requisitos de la Misión y Configuraciones,Exigences et paramètres de mission,Persyaratan dan Pengaturan Misi,Requisiti e impostazioni di missione,ミッション要件と設定,임무 요구 사항 및 설정,Wymagania dotyczące misji i ustawienia,Requisitos e configurações da missão,Требования к миссии и настройки,Yêu cầu và cài đặt nhiệm vụ,任务要求和设置
ui_level_hints,Level Hints:,Level-Hinweise:,Sugerencias de nivel:,Conseils de niveau:,Petunjuk Tingkat:,Suggerimenti di livello:,レベルのヒント：,레벨 힌트 :,Wskazówki na poziomie:,Dicas de nível:,Уровень подсказки:,Gợi ý cấp độ:,水平提示：
ui_set_hints,Set Hints,Hinweise einstellen,Establecer consejos,Définir des indices,Atur Petunjuk,Imposta suggerimenti,ヒントを設定します,힌트를 설정하십시오,Ustaw wskazówki,Set dicas,Установить подсказки,Đặt gợi ý,设置提示
ui_goal_colon,Goal:,Ziel:,Objetivo:,But:,Sasaran:,Obiettivo:,ゴール：,목표:,Bramka:,Meta:,Цель:,Ghi bàn:,目标：
ui_amount_colon,Amount:,Betragen:,Monto:,Montant:,Jumlah:,Quantità:,額：,양:,Ilość:,Quantia:,Количество:,Số lượng:,数量：
ui_factories_collect,Factories Collect:,Fabriken sammeln:,Fábricas recogen:,Usines collectées:,Pabrik mengumpulkan:,Le fabbriche raccolgono:,工場収集：,공장 수집 :,Fabryki zbierają:,Fábricas coletam:,Заводы собирают:,Các nhà máy thu thập:,工厂收集：
ui_from_above,From Above,Von oben,Desde arriba,D'en haut,Dari atas,Da sopra,上から,위에서,Z góry,De cima,Сверху,Từ phía trên,从上面
ui_from_below,From Below,Von unten,Desde abajo,Par le bas,Dari bawah,Da sotto,下から,밑에서부터,Od dołu,De baixo,Снизу,Từ phía dưới,从下面
ui_available_rings,Available Rings:,Verfügbare Ringe:,Anillos disponibles:,Anneaux disponibles:,Cincin yang tersedia:,Anelli disponibili:,利用可能なリング：,사용 가능한 반지 :,Dostępne pierścienie:,Anéis disponíveis:,Доступные кольца:,Nhẫn có sẵn:,可用环：
ui_available_lanes,Available Lanes:,Verfügbare Gassen:,LANES DISPONIBLES:,Lanes disponibles:,LANES TERSEDIA:,LANE DISPONIBILI:,利用可能な車線：,사용 가능한 레인 :,Dostępne ścieżki:,LANES DISPONÍVEIS:,Доступные полосы:,Làn đường khả dụng:,可用的车道：
ui_input_resources,Input Resources,Input-Ressourcen,Recursos de entrada,Ressources d'entrée,Input Sumber Daya,Risorse di input,入力リソース,입력 리소스,Zasoby wejściowe.,Recursos de entrada,Входные ресурсы,Tài nguyên đầu vào,输入资源
ui_available_recipes,Available Recipes,Verfügbare Rezepte,Recetas disponibles,Recettes disponibles,Resep yang tersedia,Ricette disponibili,利用可能なレシピ,사용 가능한 조리법,Dostępne przepisy,Receitas disponíveis,Доступные рецепты,Công thức nấu ăn có sẵn,可用的食谱
ui_enabled,Enabled,Ermöglicht,Activado,Activée,Diaktifkan,Abilitato,有効,활성화,Włączony,Habilitado,Включено,Đã bật,启用
ui_time,Time,Zeit,Tiempo,Temps,Waktu,Tempo,時間,시간,Czas,Tempo,Время,Thời gian,时间
ui_output,Output,Ausgabe,Producción,Sortir,Keluaran,Produzione,出力,산출,Wyjście,Saída,Выход,Đầu ra.,输出
ui_notes,Notes,Anmerkungen,Notas,Remarques,Catatan,Appunti,ノート,노트,Notatki,Notas,Примечания,GHI CHÚ,笔记
ui_product,Product,Produkt,Producto,Produit,Produk,Prodotto,製品,제품,Produkt,produtos,Продукт,Sản phẩm,产品
ui_input1,Input 1,Eingang 1,Entrada 1,Entrée 1,Input 1.,Input 1.,入力1,입력 1.,Wejście 1.,Entrada 1.,Вход 1.,Đầu vào 1.,输入1
ui_input2,Input 2,Eingang 2.,Entrada 2,Entrée 2,Input 2.,Input 2.,入力2,입력 2.,Wejście 2.,Entrada 2.,Вход 2,Đầu vào 2.,输入2
ui_input3,Input 3,Eingang 3,Entrada 3,Entrée 3,Input 3.,Ingresso 3.,入力3,입력 3.,Wejście 3.,Entrada 3.,Вход 3.,Đầu vào 3.,输入3.
ui_input4,Input 4,Eingang 4,Entrada 4,Entrée 4,Input 4.,Input 4.,入力4,입력 4.,Wejście 4.,Entrada 4.,Вход 4,Đầu vào 4.,输入4.
ui_build,Build,Bauen,Construir,Construire,Membangun,Costruire,建てる,짓다,Budować,Construir,Строить,Xây dựng,建造
ui_mission,Mission,Mission,Misión,Mission,Misi,Missione,ミッション,사명,Misja,Missão,Миссия,Sứ mệnh,使命
ui_ring,Ring,Ring,Anillo,Anneau,Cincin,Squillo,指輪,반지,Dzwonić,Anel,Звенеть,Nhẫn,戒指
ui_lanes,Lanes,Bahnen,Carriles,Voies,Lanes.,Corsie,レーン,레인,Lanes.,LANES,Полосы,Lanes.,车道
ui_satelites,Satelites,Satellite,Satelites,Satellites,Satelit,Satelliti,衛星,위성 인,Satelity,Satélites,Satelites.,Satelites.,卫星
ui_remove_all_lanes_sat,Remove All Lanes And Satellites,Entfernen Sie alle Bahnen und Satelliten,Retire todos los carriles y satélites.,Supprimer toutes les voies et satellites,Hapus semua jalur dan satelit,Rimuovi tutte le corsie e i satelliti,すべての車線と衛星を取り除きます,모든 레인과 위성을 제거하십시오,Usuń wszystkie ścieżki i satelity,Remova todas as faixas e satélites,Удалить все полосы и спутники,Loại bỏ tất cả các làn và vệ tinh,删除所有车道和卫星
ui_extractor,Extractor,Extraktor,Extractor,Extracteur,Alat pengambilan sari,Estrattore,抽出器,추출기,Ekstraktor,Extrator.,Экстрактор,Expressor.,提取器
ui_inserter,Inserter,Unverbessert,Insertador,Inséril,Inserter.,Inseritore,挿入器,삽입자,Inserter.,Inserter.,Напротив,Bảo lãnh,插入者
ui_factory,Factory,Fabrik,Fábrica,Usine,Pabrik,Fabbrica,工場,공장,Fabryka,Fábrica,Фабрика,Xưởng sản xuất,工厂
ui_remove_satellite,Remove Satellite,Satelliten entfernen.,Eliminar satélite,Supprimer le satellite,Hapus satelit,Rimuovi il satellite,衛星を削除してください,위성을 제거하십시오,Usuń satelitę,Remover satélite,Удалить спутник,Hủy bỏ vệ tinh,去除卫星
ui_inputs,Inputs,Inputs,Insumos,Contributions,Input,Ingressi,入力,입력,Wejście,Entradas,Входные данные,Đầu vào.,输入
ui_reset_satellite,Reset Satellite,Satelliten zurücksetzen.,Restablecer satélite,Réinitialiser satellite,Setel ulang satelit,Ripristina satellite,衛星をリセットします,재설정 위성,Zresetuj satelitę,Redefinir satélite,Сбросить спутник,Đặt lại vệ tinh,重置卫星
ui_save_game,Save Game,Spiel speichern,Guardar partida,Sauvegarder la partie,Simpan permainan,Salva il gioco,ゲームを保存する,게임을 저장,Zapisz grę,Salvar jogo,Сохранить игру,Lưu trò chơi,保存游戏
ui_exported,Exported,Exportiert,Exportado,Exporté,Diekspor,Esportato,輸出された,수출,Eksportowany,Exportado,Экспортируется,Xuất khẩu,出口
ui_tutorial,Tutorial,Lernprogramm,Tutorial,Didacticiel,Tutorial.,Tutorial,チュートリアル,지도 시간,Instruktaż,Tutorial,Руководство,Hướng dẫn,教程
ui_clear_all_rings,Clear All Rings,Alle Ringe löschen,Borrar todos los anillos,Effacer toutes les bagues,Bersihkan semua cincin,Cancella tutti gli anelli,すべてのリングをクリアします,모든 반지를 지우십시오,Wyczyść wszystkie pierścienie.,Limpar todos os anéis,Очистить все кольца,Xóa tất cả nhẫn,清除所有戒指
ui_all_recipes,All Recipes,Alle Rezepte,Todas las recetas,Toutes les recettes,Semua resep,Tutte le ricette,すべてのレシピ,모든 요리법,Wszystkie przepisy,Todas as receitas,Все рецепты,Tất cả các công thức nấu ăn,所有食谱
ui_exit_to_title,Exit to Title,Beenden Sie den Titel,Salir al título,Sortie au titre,Keluar ke Judul,Esci dal titolo,タイトルを終了します,제목으로 나가십시오,Wyjdź do tytułu,Saia para o título.,Выход в заголовок,Thoát khỏi tiêu đề,退出标题
ui_rings,Rings,Ringe,Anillos,Anneaux,Cincin,Anelli,リング,반지,Rings.,argolas,Колец,Nhẫn,戒指
ui_satellite_factories_collect,Satellite Factories Collect From...,Satellitenfabriken sammeln von ...,Fábricas satelitales recogen de ...,Les usines de satellite collectent de ...,Pabrik satelit mengumpulkan dari ...,Le fabbriche satellitari raccolgono da ...,衛星工場から集まります...,위성 공장 수집 ...,Fabryki satelitarne zbierają z ...,Fábricas de satélite coletam de ...,Спутниковые заводы собирают из ...,Các nhà máy vệ tinh thu thập từ ...,卫星工厂收集......
ui_above,Above,Über,Encima,Dessus,Di atas,Al di sopra,その上,위에,Nad,Acima de,Выше,Bên trên,以上
ui_below,Below,Unter,Debajo,Au dessous de,Di bawah,Sotto,未満,아래에,Poniżej,Abaixo,Ниже,Phía dưới,以下
ui_transmutations,Transmutations,Transmutationen,Transmutaciones,Transmutations,Transmutasi,Trasmutazione,変換,전환,Przekładki,Transmutações.,Трансмитация,Chuyển đổi,传输
ui_rings_colon,Rings:,Ringe:,Anillos:,Anneaux:,Cincin:,Anelli:,リング：,반지 :,Pierścienie:,Argolas:,Кольца:,Nhẫn:,戒指：
ui_lanes_colon,Lanes:,Bahnen:,LANES:,Lanes:,LANES:,LANE:,レーン：,차선 :,Lanes:,LANES:,Полосы:,Làn đường:,车道：
ui_mission_colon,Mission:,Mission:,Misión:,Mission:,Misi:,Missione:,ミッション：,사명:,Misja:,Missão:,Миссия:,Sứ mệnh:,使命：
ui_new_resources,New Resources,Neue Ressourcen,Nuevos recursos,Nouvelles ressources,Sumber Daya Baru,Nuove risorse,新しいリソース,새로운 자원,Nowe zasoby,Novos recursos.,Новые ресурсы,Tài nguyên mới,新资源
ui_new_recipes,New Recipes,Neue Rezepte,Nuevas recetas,Nouvelles recettes,Resep baru,Nuove ricette,新しいレシピ,새로운 요리법,Nowe przepisy,Novas receitas,Новые рецепты,Bí quyết mới,新食谱
ui_goal,Goal,Ziel,Objetivo,But,Sasaran,Obiettivo,ゴール,목표,Bramka,Meta,Цель,Ghi bàn,目标
